filename,label
153.png,0
225.png,7
322.png,7
662.png,2
741.png,1
868.png,2
501.png,4
411.png,5
397.png,9
921.png,2
262.png,8
610.png,5
457.png,3
583.png,0
854.png,6
432.png,3
635.png,1
828.png,0
783.png,2
640.png,1
982.png,2
375.png,1
346.png,9
651.png,6
217.png,9
421.png,9
800.png,1
124.png,6
223.png,3
617.png,4
541.png,5
400.png,4
664.png,2
52.png,0
656.png,2
883.png,3
880.png,5
685.png,2
320.png,6
814.png,8
676.png,9
764.png,9
441.png,7
931.png,2
512.png,9
4.png,7
896.png,7
588.png,8
340.png,8
619.png,0
357.png,2
26.png,7
825.png,3
972.png,0
945.png,4
721.png,3
213.png,1
803.png,7
470.png,3
794.png,8
130.png,2
435.png,9
763.png,8
748.png,0
950.png,0
832.png,3
354.png,0
649.png,1
40.png,1
109.png,9
148.png,3
788.png,2
997.png,2
47.png,3
234.png,7
631.png,3
83.png,4
479.png,9
96.png,3
68.png,8
378.png,4
638.png,6
752.png,1
389.png,5
232.png,1
214.png,6
645.png,8
24.png,0
634.png,3
183.png,2
641.png,3
589.png,2
770.png,8
74.png,7
722.png,6
302.png,4
168.png,3
866.png,2
889.png,2
459.png,8
119.png,5
681.png,2
384.png,5
573.png,1
802.png,0
514.png,9
284.png,0
202.png,0
495.png,6
761.png,1
67.png,5
973.png,2
497.png,9
968.png,4
717.png,9
218.png,3
806.png,3
855.png,0
522.png,4
821.png,2
61.png,0
926.png,0
94.png,8
509.png,5
543.png,7
463.png,7
129.png,2
895.png,4
333.png,1
367.png,0
691.png,9
692.png,4
146.png,9
236.png,2
281.png,3
335.png,7
912.png,4
839.png,8
636.png,7
350.png,1
653.png,4
261.png,4
287.png,5
66.png,9
472.png,2
197.png,1
241.png,1
190.png,1
668.png,8
755.png,9
474.png,5
600.png,9
275.png,3
556.png,0
672.png,8
935.png,5
417.png,1
886.png,8
141.png,2
228.png,2
25.png,9
658.png,7
659.png,1
31.png,7
219.png,2
156.png,2
881.png,4
789.png,2
6.png,4
336.png,6
416.png,4
427.png,2
200.png,9
305.png,0
544.png,7
827.png,3
313.png,4
366.png,8
760.png,6
256.png,2
418.png,6
238.png,4
448.png,3
280.png,5
394.png,1
706.png,8
562.png,3
667.png,9
666.png,1
606.png,9
243.png,2
831.png,5
838.png,4
347.png,7
616.png,9
154.png,0
103.png,4
82.png,9
489.png,8
36.png,4
592.png,7
545.png,0
429.png,5
671.png,6
876.png,2
86.png,3
484.png,5
528.png,1
905.png,6
775.png,8
798.png,0
160.png,6
329.png,1
363.png,8
492.png,7
80.png,3
209.png,4
804.png,0
207.png,9
102.png,3
22.png,0
759.png,3
969.png,3
84.png,4
603.png,2
971.png,3
848.png,8
412.png,6
381.png,8
777.png,6
323.png,7
507.png,1
943.png,7
557.png,7
304.png,9
249.png,2
864.png,0
590.png,8
963.png,1
279.png,0
930.png,6
396.png,1
878.png,2
444.png,7
144.png,4
203.png,2
231.png,0
698.png,9
434.png,8
440.png,4
506.png,9
670.png,6
778.png,9
766.png,5
415.png,9
844.png,9
73.png,2
469.png,7
140.png,5
533.png,0
112.png,7
751.png,1
787.png,3
513.png,5
343.png,3
276.png,4
924.png,2
715.png,5
843.png,5
404.png,3
44.png,7
757.png,4
816.png,3
105.png,7
720.png,3
539.png,3
578.png,9
285.png,9
818.png,8
487.png,1
782.png,6
613.png,6
540.png,1
486.png,7
987.png,1
222.png,6
491.png,2
402.png,7
155.png,3
922.png,3
682.png,9
477.png,9
493.png,3
957.png,5
245.png,8
107.png,7
423.png,9
577.png,0
176.png,8
769.png,4
215.png,3
867.png,0
622.png,5
468.png,7
64.png,4
754.png,4
548.png,3
151.png,6
114.png,5
147.png,1
632.png,2
331.png,2
518.png,0
273.png,2
779.png,2
17.png,3
85.png,8
566.png,4
817.png,7
299.png,7
857.png,6
809.png,2
248.png,6
270.png,1
122.png,6
373.png,7
355.png,8
260.png,1
321.png,7
212.png,9
837.png,6
981.png,7
224.png,4
327.png,2
500.png,4
184.png,4
795.png,0
132.png,1
295.png,2
654.png,8
21.png,0
948.png,1
519.png,8
824.png,2
599.png,3
269.png,8
274.png,4
910.png,2
71.png,1
314.png,8
35.png,5
315.png,7
106.png,3
368.png,1
13.png,3
529.png,3
408.png,2
310.png,2
308.png,3
894.png,2
958.png,2
503.png,1
75.png,6
530.png,1
964.png,9
811.png,8
792.png,9
771.png,7
580.png,8
932.png,0
785.png,2
113.png,3
1.png,2
358.png,9
520.png,5
607.png,0
294.png,0
560.png,5
370.png,6
142.png,6
216.png,7
874.png,5
942.png,6
442.png,9
414.png,7
311.png,5
227.png,5
250.png,4
937.png,8
911.png,7
349.png,7
110.png,9
158.png,4
805.png,0
756.png,4
688.png,8
807.png,8
661.png,7
637.png,8
272.png,9
555.png,7
624.png,0
332.png,2
41.png,9
594.png,8
263.png,2
887.png,0
253.png,4
48.png,4
677.png,5
72.png,3
906.png,5
387.png,6
705.png,3
191.png,4
108.png,3
81.png,8
620.png,8
663.png,0
572.png,6
655.png,4
989.png,2
893.png,1
10.png,8
601.png,5
823.png,7
135.png,0
845.png,4
334.png,4
137.png,2
892.png,1
852.png,6
534.png,3
278.png,8
98.png,6
406.png,5
242.png,5
727.png,6
978.png,6
330.png,9
87.png,1
745.png,6
516.png,0
549.png,4
420.png,0
884.png,6
703.png,9
797.png,8
211.png,1
919.png,0
537.png,1
568.png,2
159.png,1
173.png,6
962.png,8
669.png,2
746.png,0
731.png,1
2.png,8
30.png,4
118.png,8
860.png,7
189.png,0
525.png,5
498.png,9
689.png,6
614.png,5
735.png,0
696.png,1
268.png,3
718.png,1
482.png,3
851.png,2
546.png,8
179.png,7
466.png,2
50.png,6
979.png,6
575.png,4
371.png,4
43.png,6
199.png,4
208.png,6
111.png,4
799.png,7
644.png,5
348.png,1
652.png,8
859.png,6
904.png,7
58.png,2
956.png,6
998.png,8
842.png,9
254.png,8
221.png,0
990.png,7
88.png,7
642.png,9
701.png,0
784.png,2
29.png,6
709.png,9
966.png,9
496.png,1
437.png,7
563.png,5
138.png,1
679.png,4
460.png,0
198.png,3
708.png,4
317.png,1
163.png,1
438.png,9
206.png,2
465.png,2
730.png,4
303.png,7
602.png,7
464.png,5
961.png,9
547.png,8
558.png,5
488.png,4
535.png,4
647.png,2
90.png,9
615.png,0
847.png,1
977.png,9
900.png,7
596.png,3
46.png,0
940.png,5
426.png,1
877.png,3
813.png,5
324.png,2
339.png,9
364.png,1
627.png,6
235.png,0
19.png,8
377.png,4
39.png,6
165.png,2
462.png,5
639.png,8
536.png,2
391.png,0
925.png,0
918.png,1
277.png,0
693.png,3
204.png,0
365.png,8
292.png,7
965.png,1
734.png,9
796.png,1
97.png,0
70.png,8
60.png,0
188.png,8
307.png,1
550.png,5
582.png,9
753.png,5
316.png,7
171.png,1
178.png,8
626.png,6
20.png,9
835.png,1
538.png,8
131.png,8
59.png,3
974.png,8
139.png,7
508.png,4
476.png,3
959.png,2
65.png,0
382.png,8
361.png,1
445.png,4
403.png,1
598.png,2
95.png,9
133.png,4
49.png,3
830.png,5
995.png,3
643.png,9
481.png,5
846.png,8
454.png,7
927.png,6
505.png,9
436.png,3
791.png,6
704.png,3
99.png,1
723.png,0
360.png,1
376.png,2
526.png,9
271.png,8
117.png,3
747.png,2
936.png,4
898.png,7
433.png,0
916.png,1
45.png,5
5.png,9
714.png,8
172.png,8
988.png,1
385.png,2
125.png,2
559.png,1
55.png,2
298.png,5
319.png,6
34.png,4
458.png,7
490.png,4
356.png,7
181.png,2
244.png,3
180.png,3
449.png,0
345.png,7
917.png,5
819.png,7
833.png,3
266.png,2
264.png,3
186.png,0
554.png,7
695.png,6
9.png,5
678.png,4
265.png,2
810.png,6
660.png,0
239.png,6
230.png,5
768.png,1
407.png,9
712.png,6
834.png,1
431.png,0
719.png,9
456.png,6
240.png,6
192.png,8
587.png,9
673.png,9
201.png,2
92.png,6
485.png,2
101.png,0
815.png,1
890.png,7
908.png,4
56.png,1
680.png,1
16.png,0
152.png,8
897.png,3
542.png,5
524.png,7
424.png,4
856.png,9
7.png,7
475.png,7
446.png,1
975.png,8
8.png,5
773.png,1
409.png,7
170.png,5
57.png,1
553.png,1
648.png,8
858.png,8
604.png,6
934.png,6
401.png,7
899.png,7
774.png,7
781.png,3
829.png,9
77.png,1
591.png,9
996.png,9
952.png,1
523.png,8
38.png,9
985.png,0
820.png,7
447.png,1
702.png,1
923.png,6
267.png,4
187.png,6
633.png,7
251.png,9
551.png,8
369.png,5
772.png,8
871.png,7
196.png,5
515.png,3
54.png,9
949.png,9
428.png,4
78.png,4
902.png,1
938.png,0
494.png,3
888.png,8
471.png,6
744.png,6
392.png,1
941.png,7
891.png,9
581.png,3
443.png,2
869.png,2
574.png,8
430.png,6
185.png,6
104.png,1
233.png,9
100.png,1
33.png,3
297.png,5
226.png,1
359.png,6
93.png,4
166.png,0
116.png,8
684.png,7
914.png,0
76.png,6
127.png,0
674.png,4
473.png,4
605.png,9
259.png,1
136.png,5
586.png,9
79.png,1
711.png,8
452.png,3
999.png,8
565.png,8
725.png,8
984.png,7
836.png,1
657.png,5
790.png,7
42.png,8
386.png,6
686.png,5
393.png,1
728.png,1
480.png,3
328.png,8
306.png,4
483.png,5
246.png,8
69.png,4
861.png,3
325.png,3
467.png,5
920.png,7
879.png,5
646.png,3
970.png,2
690.png,9
337.png,5
629.png,5
585.png,9
351.png,6
161.png,9
341.png,6
18.png,1
128.png,1
91.png,3
510.png,6
738.png,5
618.png,7
3.png,1
909.png,4
650.png,5
